SampleID	Class	SV1	SV2	SV3	SV5	SV18	SV20	SV26	SV28	SV33	SV41	SV59	SV68	SV71	SV76	SV83	SV95	SV107	SV115	SV146	SV210	SV221	SV249	SV267	SV273	SV274	SV294	SV298	SV303	SV313	SV314	SV327	SV335	SV356	SV390	SV404	SV408	SV412	SV414	SV435	SV458	SV462	SV471	SV495	SV501	SV572	SV633	SV635	SV638	SV645	SV671	SV766	SV767	SV845	SV846	SV854	SV864	SV915	SV919	SV936	SV969	SV993	SV1032	SV1040	SV1096	SV1220	SV1238	SV1268	SV1316	SV1412	SV1559	SV1617	SV1735	SV1815	SV1933	SV2254	SV2712	SV4105
7Mo2C1_2	Grassland	0	24573	0	36	142	3829	18699	0	0	0	0	3	0	2	0	8	0	918	9	10	22	0	0	3	0	0	0	4	0	0	0	10	20	1277	0	0	2	0	0	33	0	662	0	5	0	0	3	0	0	6	0	0	0	0	0	0	0	310	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	56	0	0
7Mo2C1_4	Grassland	0	5686	0	0	58	17669	15506	38	0	0	0	14	0	0	0	151	0	1446	6	1	0	0	0	0	0	0	0	0	0	0	0	6	2	1544	0	0	0	0	0	132	0	1575	0	3	0	0	3	0	0	3	1	0	0	0	0	0	9	117	0	13	0	22	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
8Mo1_24	Desert	0	2925	0	0	9	0	0	0	5027	0	0	15	0	0	0	41	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	9	0	0	4	0	0
8Mo1_26	Desert	3	71	0	0	4	0	0	0	23901	0	0	0	0	0	0	992	0	0	6	0	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
8Mo1_28	Desert	31430	2864	0	11287	4563	18	1318	0	6	7	0	25	0	138	0	449	0	1	5	4	3	0	0	3	8	0	0	4	11	16	2	5	0	0	0	0	8	0	16	0	0	0	0	0	0	6	0	30	0	0	7	0	1	0	0	0	8	0	0	0	0	0	2	0	2	6	0	0	0	0	0	0	3	0	0	0	1
8Mo2_2	Desert	0	17029	0	1672	16	15	0	0	5	0	0	64	0	797	37	18	0	20	33	266	92	121	0	9	32	0	0	13	518	2	8	5	0	0	0	115	609	354	4	0	0	0	0	0	2	956	0	0	83	4	0	0	258	0	0	0	5	0	0	0	0	0	0	47	0	393	8	0	0	0	0	0	0	4	0	0	0
8Mo2_6	Desert	0	1032	0	1675	17	0	0	0	73	0	0	449	0	969	22	250	8	394	7	621	1013	80	0	52	570	0	0	6	560	0	80	4	0	18	0	49	297	393	13	0	0	0	0	0	3	585	0	16	516	0	2	0	199	0	0	0	40	0	0	0	0	0	0	49	0	558	0	0	0	0	0	0	0	0	0	0	0
8Mo2_7	Desert	0	1403	0	1020	1	0	0	0	2	0	0	768	0	462	0	15	3	52	0	544	1262	134	0	93	761	44	0	8	805	9	163	2	0	0	0	63	554	601	52	0	0	0	0	0	38	980	0	21	790	0	0	0	207	0	0	0	88	0	0	0	0	0	0	123	0	499	0	0	0	0	0	0	0	0	0	0	0
8Mo3_3	Desert	0	27208	0	62	25	7	18	0	0	25	0	74	0	11	0	0	0	0	14	37	4	0	0	45	6	1007	0	0	6	0	131	4	0	0	0	0	17	0	23	0	0	0	0	0	0	0	0	26	0	2	0	0	6	0	0	0	23	0	0	0	0	0	0	4	0	4	5	0	0	0	0	0	0	0	5	0	0
8Mo3_5	Desert	7734	45126	0	171	14	0	23	0	0	5	0	39	0	41	0	3402	10	289	0	13	26	10	0	11	47	0	0	6	12	10	46	10	0	0	0	7	22	3	0	0	0	0	0	0	0	0	1	9	4	0	0	0	0	0	0	0	30	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0
