	8Mo4_16	8Mo4_18	8Mo4_20	8Mo7_17	8Mo7_19	8Mo7_21	8Mo7_24	8Mo8_18	8Mo9_14	8Mo9_15	8Mo16_16	8Mo16_17	8Mo16_18	8Mo16_19	8Mo16_20
Class	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Grassland	Grassland	Grassland	Grassland	Grassland
SV1	0	809	95	2	2	0	6	0	0	0	0	0	0	0	0
SV2	4985	25451	1448	18853	24314	4261	4597	16991	641	6920	2468	6961	4386	11833	0
SV3	6696	0	19110	17984	19265	30460	2	0	98	30	36	474	218	75	0
SV5	16358	7011	4998	1384	1566	159	375	2360	6536	5837	4084	6155	8640	5897	1
SV18	18	529	100	57	62	0	40	5109	3	0	2	0	8	4	0
SV20	0	2733	20	11	8	0	16	0	3	48	64	53	68	75	0
SV28	2	1	36	31	46	154	556	0	6316	836	786	511	556	982	0
SV33	62	364	130	0	0	0	0	0	4	2	1	2	4	0	0
SV41	3463	892	218	6	8	0	11	0	0	0	2	0	1	3	0
SV58	185	293	244	27	26	617	0	0	1052	16	10	0	20	264	0
SV68	8	120	17	35	22	1	127	6	39	11	31	12	11	17	6
SV71	122	0	0	8	0	0	4	182	0	68	0	3	12	3	0
SV76	0	4	175	54	51	47	24	160	50	1526	836	1210	1195	787	0
SV85	0	0	4	0	0	0	0	7136	157	11	6	83	65	0	0
SV95	5	156	3	15	16	0	0	37	17	105	483	380	1631	150	0
SV107	2	6	2	0	0	1	2	13	0	68	64	522	79	71	0
SV146	3	1	23	48	4	3	109	0	12	2	0	0	0	0	0
SV175	0	0	0	12	3	0	0	0	2	103	80	95	115	87	0
SV210	8	60	58	6	4	87	125	28	167	2474	1503	1588	1650	1860	0
SV221	0	0	3	0	0	3	1	0	19	31	25	26	31	51	0
SV249	0	0	4	5	3	0	9	0	0	67	69	79	97	57	0
SV313	0	0	4	35	52	10	28	0	12	1581	990	1417	1520	1057	0
SV314	0	0	4	0	9	0	15	0	11	0	2	1	0	1	300
SV335	2	0	5	18	2	0	69	0	8	2	1	5	1	3	0
SV356	0	0	0	0	0	0	0	0	0	17	155	428	53	92	0
SV435	0	0	6	0	2	0	9	0	25	0	0	11	0	1	165
SV458	0	34	0	1	0	3	0	61	0	56	1386	1099	400	361	0
SV624	0	0	0	0	0	0	4	0	0	0	0	0	0	1	94
SV633	0	0	4	13	16	0	17	0	18	557	492	546	717	695	0
SV638	0	3	10	7	8	0	30	3	30	2	0	2	5	4	1453
SV645	0	10	7	34	48	0	54	2	13	261	223	286	236	276	106
SV680	0	0	6	11	15	0	21	0	13	0	0	0	0	0	251
SV809	0	0	0	0	0	0	0	0	3	496	200	229	272	345	0
SV840	0	1	1	2	8	16	37	0	132	483	285	149	248	150	0
SV845	0	0	0	1	0	0	1	0	0	178	75	126	144	79	0
SV854	0	4	0	0	0	0	0	0	0	12	36	815	21	43	0
SV915	0	7	6	3	0	0	25	4	21	76	156	69	95	230	0
SV951	0	0	0	95	164	3	107	14	470	0	4	0	2	4	48
SV960	0	0	7	25	20	0	49	10	22	0	4	0	4	5	778
SV994	0	0	2	53	85	13	193	0	12	8	1	0	0	0	32
SV1081	5	0	2	0	0	0	2	10	0	89	77	184	78	127	0
SV1136	29	0	82	92	95	0	0	69	61	0	63	55	317	367	0
SV1147	0	0	0	12	9	0	8	0	21	0	1	0	0	2	143
SV1238	0	0	0	12	32	11	13	0	30	92	89	100	84	82	227
SV1268	0	0	22	30	0	0	66	0	0	0	0	0	0	0	0
SV1339	0	0	27	0	1	7	0	0	6	110	44	186	47	26	0
SV1400	0	0	0	0	0	0	0	0	0	190	143	158	166	159	0
SV1541	0	0	0	83	99	0	136	0	0	0	0	0	0	0	0
SV1595	0	0	5	0	0	0	0	0	7	0	0	0	0	0	157
SV1767	0	0	0	0	0	0	0	1	0	31	59	14	18	67	0
SV1873	0	0	0	0	0	0	0	0	10	4	0	0	3	0	344
SV2061	0	0	0	0	0	0	6	0	9	0	0	0	0	0	104
SV2370	0	2	8	9	8	0	9	4	46	0	0	4	0	0	734
SV2541	0	0	0	0	0	0	0	0	4	0	0	0	0	0	241
SV2563	0	0	0	31	66	0	91	0	0	0	0	0	0	0	0
SV2601	0	0	0	12	0	0	43	2	11	2	3	0	3	2	152
SV2622	0	0	0	0	0	0	0	0	2	0	0	0	0	0	195
SV2661	0	0	0	0	0	0	1	0	32	0	0	0	0	1	449
SV3107	0	0	0	73	51	0	68	0	0	0	0	0	0	0	0
SV3228	0	0	9	35	29	0	77	0	25	2	3	2	0	1	470
SV3295	0	0	0	0	0	0	0	0	1	0	0	0	0	0	88
SV3304	0	0	0	12	10	0	13	0	0	0	0	6	4	0	97
SV3332	0	0	5	0	34	0	7	0	18	5	6	0	0	0	292
SV3338	0	0	0	57	84	0	101	0	0	0	0	0	0	0	2
SV3684	0	0	0	0	0	0	0	0	0	16	16	280	23	15	0
SV3937	0	0	0	1	7	0	0	0	48	0	0	0	2	0	860
SV4032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153
SV4539	0	0	0	0	0	0	6	0	0	58	48	17	21	34	0
SV5243	0	0	0	55	60	0	75	0	0	0	0	0	0	0	0
SV5734	0	0	0	4	6	0	0	0	79	0	0	0	0	0	113
SV5790	0	0	9	0	0	0	0	0	10	0	0	0	0	0	126
SV5891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94
SV6612	0	0	2	0	0	0	0	0	0	0	0	0	0	0	87
SV7341	0	0	0	0	0	0	0	0	11	0	0	0	0	0	109
SV8005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175
SV12575	0	0	0	5	0	0	8	0	0	0	0	0	0	0	104
SV19751	0	0	1	0	0	0	6	0	24	0	0	0	0	0	73
