	7Mo2C1_2	7Mo2C1_4	8Mo1_24	8Mo1_26	8Mo1_28	8Mo2_2	8Mo2_6	8Mo2_7	8Mo3_3	8Mo3_5	8Mo3_6	8Mo4_2	8Mo4_3	8Mo4_4	8Mo4_5	8Mo4_6	8Mo4_7	8Mo4_8	8Mo4_10	8Mo8_7	8Mo8_9	8Mo8_10	8Mo9_2	8Mo9_3	23Mo7_29_1	23Mo7_29_2	23Mo7_29_3	23Mo7_29_4	23Mo7_29_5	23Mo7_29_6	23Mo7_29_8	23Mo7_29_9	23Mo7_29_10	23Mo7_29_11	23Mo7_29_12	23Mo7_29_13	23Mo7_29_15	23Mo7_29_16	23Mo7_29_17	23Mo7_29_18	23Mo7_29_19	23Mo7_29_20	23Mo7_29_21	23Mo7_29_23	23Mo7_29_24	23Mo7_29_27	23Mo7_29_28	23Mo7_29_30	23Mo7_29_32	23Mo7_29_33	23Mo7_29_34	23Mo7_29_35	23Mo7_29_36	23Mo7_29_37
Class	Grassland	Grassland	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland
SV1	0	0	0	3	31430	0	0	0	0	7734	7	2	10	0	4	0	0	0	0	2	0	0	0	0	0	0	1	1044	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	30	30
SV2	24573	5686	2925	71	2864	17029	1032	1403	27208	45126	10709	8467	5439	8224	25812	8685	36109	3530	10241	39343	6934	16003	11714	13202	67019	808	144	362	1	31588	5	193	232	2	14089	0	2369	536	34909	1610	233	12737	4683	1	195	4	36	701	148	11846	849	1123	364	2278
SV3	0	0	0	0	0	0	0	0	0	0	0	299	266	22	0	0	0	0	187	25	0	0	0	0	0	53	106	525	248	220	0	142	582	208	0	301	43	0	0	121	248	0	41	0	64	0	131	95	219	0	0	39	0	101
SV5	36	0	0	0	11287	1672	1675	1020	62	171	1190	10668	9266	2380	0	43	48	1256	16945	35	9	8	324	15	2	0	132	782	14	146	52	963	292	858	278	84	881	1644	2	1958	232	14872	438	2271	269	23	24	152	0	0	0	40	876	0
SV18	142	58	9	4	4563	16	17	1	25	14	17	13	63	77	7	311	118	22	8	14547	0	7	24	0	0	0	130	0	341	181	1	153	176	0	5	112	210	634	0	246	295	10627	3	0	136	2	35	89	145	2	0	0	261	231
SV20	3829	17669	0	0	18	15	0	0	7	0	8372	3	0	0	0	4	14	0	0	23	5	0	124	744	23	0	0	284	0	0	36857	0	0	2444	8795	79	194	126	0	102	0	0	63	98	0	1890	63	1	867	1492	21950	80	90	102
SV26	18699	15506	0	0	1318	0	0	0	18	23	57	0	0	0	6269	0	0	0	0	0	0	0	0	0	14358	13312	10922	3670	0	0	11830	0	1	7561	42791	36000	2	0	6932	716	0	4897	4410	0	35703	0	0	10485	0	14691	0	0	59	100
SV28	0	38	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	2	1018	0	2	151	463	11	74	0	138	0	71	19	151	0	0	8	93	25	42	0	0	0	3	61	2202	0	2	0	0	0	0	0	633	0	33
SV33	0	0	5027	23901	6	5	73	2	0	0	0	1895	0	1	3184	0	5	0	219	2	0	0	2595	6	3	0	13363	291	3	0	0	744	9496	154	20653	0	301	151	21	187	0	0	26	0	0	0	0	0	0	0	1	0	55	0
SV41	0	0	0	0	7	0	0	0	25	5	0	1317	48	13	0	7	0	0	1999	43	3	15	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
SV59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	227	102	10	50	0	2017	1893	940	0	85	185	508	0	1096	2042	3	32	0	45	1	768	1864	22273	0	0	213	217	545
SV68	3	14	15	0	25	64	449	768	74	39	1437	338	111	341	87	1094	286	92	51	21	3	0	1011	11	0	0	3	0	0	25	0	0	0	111	3	0	0	0	3	81	1	0	0	174	0	3	0	112	1	0	1	107	30	3
SV71	0	0	0	0	0	0	0	0	0	0	0	27	137	19	0	0	0	104	18	4	178	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	110	0	0	0	0	0	0	0
SV76	2	0	0	0	138	797	969	462	11	41	554	59	5	21	9	17	0	0	0	4	0	0	20786	0	0	0	0	0	0	0	15	0	0	0	167	41	38	0	0	693	0	0	0	0	45	26	0	0	0	0	16	56	56	0
SV83	0	0	0	0	0	37	22	0	0	0	0	869	3857	30	0	0	2	13	2324	359	0	714	1595	14321	0	0	163	154	42	1666	4862	0	0	2048	0	269	10344	784	437	3990	0	0	0	10666	27	1493	96	295	919	5	238	430	22	0
SV95	8	151	41	992	449	18	250	15	0	3402	39	16	6	8	317	426	0	4	0	176	801	5	602	10	0	2775	0	0	13	591	5	26	0	0	66	94	411	0	3	332	0	263	0	0	0	0	0	126	0	19	4	0	0	1
SV107	0	0	0	0	0	0	8	3	0	10	3	5	6	5	8	0	0	0	0	5	0	0	610	0	0	20	4877	146	0	0	6117	0	0	0	13915	0	0	0	4083	38	0	0	0	0	0	0	0	0	0	55	0	19	31	0
SV115	918	1446	0	0	1	20	394	52	0	289	36	11	2205	30	0	0	1117	0	0	2427	60	65	1025	38	234	205	37	0	71	0	28	0	295	463	1305	0	962	273	50	3094	119	47	154	107	109	40	0	28	262	821	52	3138	3872	2433
SV146	9	6	7	6	5	33	7	0	14	0	10	408	304	40	10	890	61	24	9	191	69	27	44	15	0	24	57	0	190	118	0	0	106	0	0	56	0	0	0	0	0	0	39	0	41	0	95	50	0	0	0	90	0	50
SV210	10	1	0	0	4	266	621	544	37	13	1742	1821	131	1425	0	19	24	71	4	11	0	4	171	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV221	22	0	0	0	3	92	1013	1262	4	26	2120	33	0	17	3	22	0	0	0	0	0	4	538	0	0	3813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV249	0	0	0	0	0	121	80	134	0	10	101	19	19	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	635	663	750	0	11	106	185	0	161	223	3	0	0	0	0	16	822	2996	0	0	14	56	204
SV267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	22	0	0	3443	0	103	124	0	0	0	0	0	108	0	0	0	1240	52
SV273	3	0	0	0	3	9	52	93	45	11	181	42	37	52	18	96	66	0	0	1	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV274	0	0	2	10	8	32	570	761	6	47	1051	38	5	50	0	152	4	7	0	3	0	5	72	2	4	31	53	0	0	64	8	0	194	0	0	0	0	84	1	0	0	0	0	0	0	3	456	0	55	0	0	0	0	0
SV294	0	0	0	0	0	0	0	44	1007	0	39	32	10	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	31
SV298	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4374	0	0	0	0	0	0	0	43	0	0	0	0	0	0	42	0	0	0	0	0	0
SV303	4	0	0	4	4	13	6	8	0	6	10	0	0	4	0	0	0	0	0	2	0	0	10	0	0	0	0	0	1110	0	4	2359	355	0	0	0	0	1084	0	758	1206	0	19	42	13	3	174	170	1795	4	0	25	14	457
SV313	0	0	0	0	11	518	560	805	6	12	1072	5	0	6	0	19	7	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	380	0	0	194	244	18	0	0	19	0	27	0	0	0	0	192	0	0	0	0	0	0
SV314	0	0	0	0	16	2	0	9	0	10	27	29	0	13	0	17	6	3	0	1	3	0	28	0	0	41	0	10	3659	0	0	1075	1010	208	0	60	124	13	0	668	600	0	0	174	0	0	219	247	4189	0	0	331	13	0
SV327	0	0	0	0	2	8	80	163	131	46	135	105	58	61	22	561	69	36	1	0	0	0	499	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	18	0	0	0	0	0	0	35	0	0
SV335	10	6	15	0	5	5	4	2	4	10	0	3	0	21	4	353	10	0	11	11	7	0	15	8	0	0	145	0	12	0	0	54	236	70	0	0	0	0	0	164	188	0	0	0	0	0	0	18	0	0	0	0	0	1
SV356	20	2	0	0	0	0	0	0	0	0	0	0	47	0	0	255	60	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	382	0	17	138	12	0	0	4	0	0	0	2	0	73	0	5	0	146	38	18
SV390	1277	1544	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	25	24	199	0	0	0	0	16	0	158	0	666	0	806	94	13	292	0	46	95	0	0	16	0	0	0	350	10	537	2429	328
SV404	0	0	0	0	0	0	0	0	0	0	6	35	13	11	0	2853	0	5	4	0	0	7	6	4	0	0	14	0	273	0	0	73	244	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	4	0	0	76	0	0
SV408	0	0	0	0	0	115	49	63	0	7	75	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	80	0	0	0	32	258	0	0	109	0	0	0	1	0	0	0	2362	0	0	0	0	189
SV412	2	0	0	0	8	609	297	554	17	22	775	10	26	3	4	47	0	0	2	1	0	4	6	0	2	0	0	0	166	37	0	100	98	0	0	47	0	129	0	33	0	0	21	0	0	0	0	233	31	0	0	0	0	32
SV414	0	0	0	0	0	354	393	601	0	3	1235	57	5	22	0	22	4	0	2	0	0	0	42	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV435	0	0	0	0	16	4	13	52	23	0	96	512	52	200	9	15	0	26	0	7	0	0	34	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV458	33	132	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	419	0	0	0	1	100	301	332	804	60	318	498	0	976	191	0	20	17	77	7	0	0	0	15	51	457	1159	270
SV462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750	0	0	0	0	0	0	0	0	37	486	0	0	0	0	0	0	9	0	0	42	0	0	0	0	0	0
SV471	662	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	8	0	0	0	0	0	2	0	0	71	25	0	148	99	3	472	218	32	0	0	0	9	0	0	0	108	11	0	405	49
SV495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	2098	0	466	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV501	5	3	0	4	0	0	0	0	0	0	0	0	517	13	20	27	1	0	3	17	0	0	84	1	10	61	0	562	125	180	0	0	467	158	0	0	154	783	0	120	677	0	39	0	54	0	472	0	5	0	0	53	140	739
SV572	0	0	0	0	0	2	3	38	0	0	28	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	97	0	0	1382	300	235	0	0	53	100	0	901	308	0	29	31	34	0	915	0	1348	0	0	48	134	100
SV633	0	0	0	0	6	956	585	980	0	0	1453	7	12	4	0	5	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV635	3	3	0	0	0	0	0	0	0	1	0	1	590	3	4	31	12	0	7	41	3	7	204	9	0	7	12	68	257	37	0	137	121	18	0	12	120	562	0	166	112	0	8	30	52	0	137	40	75	1	0	146	135	265
SV638	0	0	0	0	30	0	16	21	26	9	41	265	28	118	0	6	5	40	0	20	0	1	26	0	0	0	60	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV645	0	0	0	0	0	83	516	790	0	4	602	113	7	23	0	0	10	5	0	6	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV671	6	3	0	0	0	4	0	0	2	0	0	90	272	38	0	184	1	0	5	27	0	7	55	3	6	0	0	25	48	0	0	0	73	0	0	0	249	326	0	115	240	0	17	0	0	0	775	0	11	0	0	25	188	304
SV766	0	1	0	0	7	0	2	0	0	0	0	0	234	0	8	34	22	0	0	7	0	0	0	0	2	0	42	115	0	0	0	76	997	0	0	0	423	188	0	0	364	1	29	0	0	0	0	0	0	4	0	0	231	0
SV767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1117	0	0	0	0	75
SV845	0	0	0	0	1	258	199	207	6	0	266	19	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	171	0	0	0	0	0	28	0	0	0	0	68	31	30
SV854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	12	0	26	49	0	0	198	0	0	0	0	0	0	0	0	3	0	0	100	0
SV864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV915	0	9	13	4	8	5	40	88	23	30	126	41	9	34	7	472	23	11	9	5	2	0	185	5	1	0	83	0	0	70	13	148	0	0	0	0	0	0	0	124	0	0	0	0	0	8	0	0	0	2	0	477	0	40
