	8Mo1_1	8Mo1_2	8Mo1_3	8Mo1_4	8Mo1_5	8Mo1_7	8Mo1_8	8Mo1_9	8Mo1_10	8Mo2_14	8Mo2_15	8Mo2_18	8Mo2_19	8Mo2_20	8Mo3_8	8Mo3_9	8Mo3_10	8Mo3_11	8Mo3_12	8Mo3_13	8Mo3_14	8Mo5_1	8Mo6_11	8Mo6_12	8Mo6_13	8Mo6_14	8Mo6_15	8Mo7_12	8Mo7_13	8Mo8_11	8Mo8_12	8Mo8_13	8Mo8_15	8Mo9_6	8Mo9_7	8Mo9_9	8Mo13_1	8Mo16_1	8Mo16_2	8Mo16_3	8Mo16_4	8Mo16_5	23Mo7_28_1	23Mo7_28_3	23Mo7_28_5	23Mo7_28_6	23Mo7_29_38
Class	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland
SV1	2206	27812	4519	8764	0	0	5756	5255	0	3719	13259	4245	8	4342	46	145	152	3841	3	241	883	1	8187	21334	11666	15742	1513	5685	2323	140	279	1452	8	29	457	951	55280	21706	15591	18048	10771	34705	92933	48135	64019	90183	113781
SV2	26586	558	19930	11261	0	0	288	365	40783	28800	947	33806	4086	21771	25900	9433	35257	14445	29484	17166	34591	51194	23002	7311	44	191	16594	24	9370	35588	21122	34835	31829	20481	63	100	30	9663	4919	1823	5667	3498	3246	175	54	14849	120
SV3	0	2	0	0	0	0	9405	4307	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	4	21	5	3	5	11
SV5	403	13	5	984	0	0	1931	5182	254	24698	18	469	18	31149	380	9	120	1145	377	463	138	156	8	995	10	13	0	202	512	7	0	45	0	29	18	44	333	365	1047	237	494	797	683	35	56	12	103
SV18	21	24	2	11802	0	6	93	2727	13	604	52	7519	41	1	9	8364	1426	1659	26	14955	1981	0	0	6	8	10	0	10134	3	3096	2840	4019	9272	0	168	14	36	6	6	1	0	3	1651	3	9	5	58
SV20	13	8717	0	3337	89	175	3299	2633	0	2933	0	112	0	0	0	267	8	3627	13	4	1087	2	0	4	11008	7991	6916	1073	0	0	1755	23	0	64	32875	1396	100	10	26	0	5	4	582	1051	6536	0	8
SV26	0	294	0	29	0	0	0	9	0	2	5	6	0	259	0	1	0	14	19	993	1	0	145	100	441	2814	546	15	3847	0	306	0	0	14	79	9	0	169	1881	0	3	1081	58	1444	12559	7	4
SV28	0	0	561	0	0	0	0	0	0	5	0	2	0	1	1885	0	0	0	0	0	0	1	4	308	0	0	0	13	0	45	8	375	73	935	10	16	58	140	570	810	1978	364	530	3	132	2	18
SV33	0	21292	0	1392	0	0	0	11	0	521	6	33	6448	1	0	3576	505	29	329	101	12243	1	0	0	0	0	12	0	0	0	3742	93	938	0	1	0	0	3	5	0	0	0	1	30	0	14	0
SV41	0	345	0	6055	0	0	2	9	0	1396	22	6	0	1	76	6	2	0	24	4	0	0	0	3	51	446	33	166	94	2	0	19	0	239	5	19	0	5	2	0	0	0	18	53	0	0	0
SV56	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1228	892	0	9	0	16	0	10	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0
SV58	0	3436	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	6	0	2	3	309	92	14	8	0
SV68	0	4	4	0	79	62	3285	2288	179	167	0	1575	2	1231	4	5	9	7	0	7	13	27	0	8	16	15	0	0	0	0	0	10	0	57	27	3	58	1	18	18	83	0	4	0	0	0	0
SV71	0	6080	0	0	0	0	0	6	0	0	51	0	0	0	0	443	14	0	3	248	9	0	0	0	0	1	0	2	3464	14	370	102	111	0	0	4	5	13	12	0	11	12	0	35	0	0	15
SV76	0	1	0	0	0	0	219	209	90	10	21	147	0	433	0	0	0	0	25	0	7	3	3	0	5	32	0	92	0	0	0	0	0	16	4	17	0	165	402	32	108	149	0	0	0	0	0
SV83	0	2508	0	235	0	0	68	304	0	81	0	311	0	4	0	0	0	768	0	5	22	0	0	682	62	37	363	0	0	0	2	0	0	261	172	796	0	0	0	0	0	0	14	0	0	0	0
SV95	1650	10358	475	265	0	0	0	4	76	122	7	22	0	0	0	0	8	0	11	0	0	0	1	1	0	0	0	16443	50	85	14	216	65	3	30	8	5	135	217	89	286	145	13	162	1	7	0
SV107	0	0	0	13	0	0	0	5	16	8	0	4	0	4	0	0	0	0	12	4	0	0	0	30	0	0	67	0	0	0	0	0	0	20	22	1	0	45	163	2	23	17	0	23	2	0	0
SV115	0	0	1	411	0	0	0	35	888	129	16	22	0	2	0	0	15	0	47	11	6	170	3	337	12	27	16	0	0	0	0	19	3029	54	9	36	0	5	7	5	0	3	0	23	0	15	0
SV146	0	0	1	7	15	52	0	0	6	2	3	2	4	3	0	0	282	0	0	0	0	0	2	22	66	49	0	3	0	0	0	12	3	21	92	19	41	0	0	2	0	5	0	0	0	0	0
SV210	0	0	0	0	20	2	1722	1944	41	184	13	749	5	774	77	0	0	0	6	0	16	1	0	0	7	0	0	3	0	4	0	15	0	76	29	5	49	126	515	185	518	312	0	0	0	0	0
SV221	0	0	0	3	121	21	2945	3114	7	0	0	1793	0	1478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	17	15	24	1	0	0	0	0	0
SV273	0	0	0	0	0	0	460	491	53	20	0	303	2	218	3	3	1	2	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	7	22	0	0	0	0	0	14	1	0	0	0	0	0
SV274	0	0	2	0	85	36	2445	2320	2	1	1	1558	0	1445	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	7	0	18	0	2	8	2	12	14	16	3	0	0	0	0	19
SV294	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV297	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	486	0	0	0	0	0	8	0	0	15	0	0	0	0	0	0	0	117	0	0	0	0	0	5025	0	0	0	0	0
SV303	0	0	0	2	284	450	20	3	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	11
SV313	0	0	0	0	52	74	134	151	23	0	4	155	0	619	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	100	302	17	115	50	0	0	0	0	0
SV314	0	0	0	0	680	1636	0	14	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	15	5	8	0	0	0	0	0	1	0	0	0	38
SV327	0	0	0	0	8	9	352	351	79	16	0	342	0	268	0	0	4	6	1	13	0	4	0	0	0	0	0	0	0	0	0	2	0	10	6	6	0	0	4	4	13	0	0	0	0	0	0
SV356	0	10	0	47	0	0	0	0	4	0	1	0	0	0	0	1	0	7	0	0	0	3	0	77	0	7	77	0	0	0	0	0	0	1865	5	0	0	5	16	1	11	153	0	5	416	0	0
SV412	0	1	0	0	40	18	228	169	27	0	4	150	0	277	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	4	0	10	2	2	0	0	3	0	1	0	0	0	0	0	2
SV414	0	0	0	0	0	0	1140	760	0	5	0	442	0	584	0	0	0	0	1	0	4	0	0	0	4	0	1	0	0	0	0	0	0	14	8	0	0	2	0	6	7	0	0	0	0	0	0
SV458	0	25	0	1607	0	0	0	12	4	100	13	11	0	0	0	101	29	27	510	71	0	0	2	877	4	0	318	21	0	0	34	5	0	177	0	40	0	15	466	5	26	20	0	302	149	0	0
SV495	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	61	22	0	0	0	0	0	188	0	0	0	0	0
SV544	0	4	0	3	153	167	12	5	0	0	2	0	0	0	2	0	15	1	3	0	2	0	0	10	0	4	0	4	0	0	0	0	0	1	0	15	24	0	0	0	0	0	0	0	0	0	0
SV572	0	0	0	0	227	366	5	19	2	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
SV624	0	0	0	0	547	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
SV633	0	0	0	1	0	0	220	357	17	3	16	299	0	609	0	0	0	0	0	0	13	11	0	2	2	5	0	32	0	0	0	0	0	16	0	0	0	22	112	13	39	54	0	0	0	0	0
SV645	0	4	0	1	54	21	259	572	0	19	0	368	0	276	0	0	0	0	1	0	0	0	0	18	1	0	0	404	0	26	2	4	0	15	6	0	182	33	108	92	226	35	0	0	0	0	0
SV680	0	0	0	0	130	241	0	0	9	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	4	0	4	4	0	5	0	0	0	0	0	0	0	0	0	0
SV850	0	0	0	1	0	0	0	5	0	2	24	0	0	0	0	0	8	0	983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
SV854	0	0	0	92	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	4	18	5	10	0	0	14	0	0	0
SV860	0	0	0	0	267	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	6	4	0	0	0	0	0
SV915	2	14	0	0	28	6	250	236	68	15	1	187	0	135	0	1	8	0	2	0	0	0	0	0	0	11	0	1	0	0	0	1	0	20	13	10	54	11	175	293	821	29	19	0	3	0	0
SV951	0	1	0	4	249	276	4	5	7	1	0	5	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	23	0	43	37	34	0	0	0	1	0	0	0	0	0	0	0
SV960	0	0	10	0	103	72	9	10	0	0	0	6	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	22	10	0	0	0	0	0	0	2	0	0	0	0	0
SV969	0	0	0	0	0	0	0	12	0	1	38	9	0	0	0	7	15	0	123	0	0	0	0	23	0	0	0	4	0	0	0	4	0	178	0	32	0	2	0	0	0	0	0	10	0	0	0
SV1096	0	0	0	0	53	9	211	82	5	0	0	34	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	9	12	18	0	0	0	0	0	16
SV1142	0	3	0	0	725	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV1235	0	0	0	0	120	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
