	8Mo1_12	8Mo1_13	8Mo1_14	8Mo1_15	8Mo1_16	8Mo1_17	8Mo1_18	8Mo1_19	8Mo1_20	8Mo2_16	8Mo2_17	8Mo2_21	8Mo3_15	8Mo3_16	8Mo3_17	8Mo3_18	8Mo5_3	8Mo6_16	8Mo6_17	8Mo6_18	8Mo6_19	8Mo6_20	8Mo7_11	23Mo7_29_39	23Mo7_29_40	23Mo7_29_41	23Mo7_29_42	23Mo7_29_43	23Mo7_29_44	23Mo7_29_45	23Mo7_29_46	23Mo7_29_47	23Mo7_29_48	23Mo7_29_49	23Mo7_29_51	23Mo7_29_52	23Mo7_29_53	23Mo7_29_54	23Mo7_29_55	23Mo7_29_56
Class	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland	Grassland
SV1	0	5372	6911	782	544	20993	16052	19694	4877	2379	5985	28946	4225	93	2222	253	0	4869	0	2042	25307	40003	19271	128439	135218	61796	49983	51003	57957	70210	63018	45087	78597	75726	71408	75151	77080	122211	101603	55837
SV2	588	9818	2751	8384	11839	7956	15	5299	2	28047	17440	2392	20168	499	225	81135	6180	25317	36221	42642	283	505	803	2045	25	1618	256	20	107	309	124	87	231	8	25	38	3089	1	58	1495
SV3	20152	0	16	0	0	2	0	3	0	187	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	3	0	0	9	0	0	0	0	1	0
SV5	9844	117	11414	0	49	7798	4	0	4	8153	468	2787	22	421	18053	475	64	832	11658	74	66	16	77	0	0	14	71	7	59	441	43	51	0	11	4	0	30	0	13	54
SV18	3	7402	4	0	13403	3	17	5803	8123	581	4268	37	1	152	8298	3466	7	9	37	177	13	195	7	9	0	131	0	54	0	20	59	79	28	107	57	1	36	7	7	110
SV20	494	2353	453	10857	6096	8	0	0	0	1	2145	16	0	0	14	0	26	227	2	111	17	10773	7	8	7207	10321	33	29	0	3521	87	115	9	386	2862	0	1	4263	10	14342
SV26	0	3	726	541	91	0	0	0	0	0	28	0	0	0	77	0	15	0	77	0	0	10	34	0	323	0	287	5	12	880	293	0	0	304	47	28	0	4633	172	1112
SV28	238	42	895	21	0	0	0	0	0	1	0	0	0	0	0	0	216	75	24	12	144	1996	131	0	0	0	3	0	0	11	4	0	0	0	0	0	0	0	24	15
SV33	0	4133	3	0	2092	9288	0	0	0	286	99	0	2	3	10	679	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
SV41	0	54	811	2	164	269	0	0	0	2587	26	0	0	18	2	1	19	6354	2316	26	1	7	45	9	49	46	9	0	17	4	0	2	104	8	0	2	0	3	394	52
SV56	0	242	0	253	0	0	0	0	0	167	0	0	0	0	0	0	175	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV58	359	0	0	0	0	0	0	0	0	1706	0	0	0	0	0	0	0	0	170	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV68	0	0	2004	0	0	8	13	9	5	2482	1751	4	0	1232	2	26	77	18	7	12	26	18	9	3	13	0	11	0	0	12	93	48	0	2	0	0	7	2	1	33
SV71	0	3	0	0	0	0	0	0	0	939	47	16901	0	0	0	2	1	1880	1543	43	20	14	5	8	7	9	16	0	0	7	5	2	22	0	0	0	0	0	0	4
SV76	0	0	606	0	0	43	0	0	0	303	229	12	0	7	225	0	15	6	2	3	29	13	17	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
SV83	117	2	7	4148	308	9	0	0	0	283	713	0	0	0	4	7	30	31	0	18	5	2	1	0	0	0	0	7	0	0	9	0	0	0	0	0	0	0	0	760
SV95	117	728	170	513	532	0	1	521	433	32	139	395	0	0	1129	0	0	38	1066	2	4	8	4	100	347	34	118	0	40	2	577	38	51	0	12	0	0	69	181	8
SV115	0	2	0	0	104	0	0	0	661	4	372	0	6	0	0	0	4676	96	17	63	41	30	344	165	287	54	1649	0	643	2060	260	535	262	30	20	181	65	0	299	3
SV125	0	0	0	0	13	653	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV146	0	0	0	0	0	2	9	15	5	690	3	4	0	679	9	12	25	3	8	10	50	28	27	0	0	0	0	0	0	0	18	0	1	0	2	0	0	0	0	0
