	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SV1412	8.05862368141992	22.2332562567153	2.29488689717357	9.68817081316656	3.38537271239537e-22	5.58586497545236e-21
SV495	4.33506365976323	21.3266092232297	2.96220765380323	7.19956590343965	6.04045556710511e-13	4.98337584286172e-12
SV267	25.2832179115695	20.5694149875592	2.01152674165685	10.225772574426	1.5201096728191e-24	3.34424128020202e-23
SV59	63.661587838969	8.2651865069216	0.951954641883864	8.68233227012293	3.87734751783326e-18	5.1180987235399e-17
SV458	48.7288305717826	6.77657472710955	1.03438190137233	6.55132762678754	5.70277883677435e-11	3.62900768006835e-10
SV390	72.6855314047973	6.73898768181434	1.23667684844826	5.4492713195611	5.05766074047436e-08	2.56773545285622e-07
SV107	118.343382521979	5.8135105197899	1.56784928017589	3.70795241181456	0.000208941908421329	0.000551606638232308
SV969	9.52721843555724	5.48677133143738	1.51053426115697	3.6323382213356	0.000280864659573782	0.000712964135841139
SV20	2787.70324111115	5.35487065593859	1.33475616098994	4.01187184029707	6.0239201771597e-05	0.000180717605314791
SV919	30.5483309471069	5.00034942914404	1.17518335583633	4.25495256064572	2.09093342037548e-05	6.9000802872391e-05
SV572	30.9176408619206	4.72505613337242	1.05907783509635	4.46148146698073	8.1394986664539e-06	2.98448284436643e-05
SV471	18.3251324700228	4.00569480417741	1.37934416684892	2.90405752273439	0.00368360474791641	0.00736720949583282
SV303	48.2398525745003	3.9876817774416	1.01060036451311	3.94585428371855	7.95159627541922e-05	0.000228176240946812
SV26	7643.43206246018	3.59809822737445	1.60259701348712	2.24516718619442	0.024757401780236	0.0429996978288309
SV314	69.1111438622332	3.5375345969813	0.98476741509615	3.59225390965633	0.000327830191032884	0.000801362689191494
SV915	25.8576864042955	-2.17558433045545	0.886387750877494	-2.45443862271528	0.0141104750355647	0.0266083243527791
SV274	32.1654759952068	-2.27276592986832	0.962283824486614	-2.36184571748451	0.0181842081257418	0.0324366955756475
SV76	65.5515876037774	-2.89029659684021	1.21928051072912	-2.37049355862485	0.0177643534720238	0.0324366955756475
SV146	61.7254353812946	-3.06903711454701	0.879599726253343	-3.48912922883637	0.000484596811333163	0.00110287550165478
SV95	314.961621921866	-4.01657662378279	1.0209568642322	-3.93412960380401	8.34987220478219e-05	0.00022962148563151
SV68	99.4588149603354	-4.17732710616554	0.810275098229621	-5.15544302829079	2.53031966933077e-07	1.19286498697022e-06
SV5	1610.98929000309	-4.24933825383352	0.8390517863138	-5.06445290165235	4.09574878088696e-07	1.68949637211587e-06
SV33	543.809113400801	-4.42350116067155	1.2749336616709	-3.46959319818587	0.000521247190967252	0.00114674382012795
SV638	16.3844073711372	-4.66518804308819	1.32013566249901	-3.53387017381003	0.000409522180499256	0.000965302282605389
SV294	12.758763743713	-5.48462903372364	2.21413226413424	-2.4771009042986	0.0132454449357293	0.0257117460517098
SV327	35.4931149377455	-5.68555215598632	1.11113124534783	-5.11690421792299	3.10591242922891e-07	1.36660146886072e-06
SV1238	29.2351470131755	-6.30903036692928	1.46710875001844	-4.30031541073557	1.70555185900582e-05	5.92454856286231e-05
SV845	4.87061182426077	-6.47151207272139	1.9193153604425	-3.37178152486071	0.000746836665060313	0.00159003935141873
SV41	29.9196536835206	-6.50326454939152	1.54948210169985	-4.19705690195268	2.70406011735767e-05	8.49847465455269e-05
SV71	9.76349545715894	-7.17404485690439	2.1447342190836	-3.3449575211094	0.000822951735135229	0.00169733795371641
SV414	14.5211393841983	-7.85045125500557	1.37483848045481	-5.71008985172467	1.12916543524169e-08	6.21040989382929e-08
SV645	17.5320952645722	-7.90889896808213	1.20884264971876	-6.54253799691973	6.04834613344725e-11	3.62900768006835e-10
SV273	16.7698294126412	-8.27284515549156	1.05064028788769	-7.87409853863886	3.43208373595374e-15	3.27002319902229e-14
SV221	18.9206317731091	-8.31425169687129	1.23040440360949	-6.7573325261847	1.40555359187332e-11	1.0307393007071e-10
SV435	20.2394207455335	-8.54054037500671	1.08481760579231	-7.87278924070282	3.46820642320546e-15	3.27002319902229e-14
SV1	310.632288941557	-9.38611528730382	1.9471286555034	-4.82049055195955	1.43205639367928e-06	5.55974835193132e-06
SV210	100.558424790084	-10.7390660433427	0.952776006169769	-11.2713439190336	1.81773962097532e-29	5.99854074921854e-28
SV633	17.3832274958427	-26.2251327903273	1.55117393987849	-16.9066357525202	4.02012793099473e-64	2.65328443445652e-62
