	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Desert	rab.win.Grassland	diff.btw	diff.win	effect	overlap
SV1	3.61932635356936e-05	0.000540620286386508	7.28243185893485e-09	4.91797324790426e-07	14.5927532437175	11.3745834530409	16.8905072396328	5.12386559559691	3.82470380855765	1.14103290549574	0.0303311633934054
SV2	0.000670375551027913	0.0208718744971239	0.000868915751874613	0.0202842681325122	9.38757372406309	11.5931496141391	6.63162836975316	-4.39970862123492	5.11887666827173	-0.814392628187872	0.196691210255142
SV3	0.565675504660164	0.859393392617132	0.67253775053599	0.899143888037603	-0.73633638239597	-0.62415939322133	-0.857278527894721	-0.300517336949731	5.28891155324986	-0.0505165373048673	0.469669119790181
SV5	0.00461128798066821	0.0493818689247648	0.00405968005753358	0.0427238064555125	5.55278212643292	6.47946361676023	4.5079832714972	-3.92093303681448	6.19146646231726	-0.612692919862144	0.235294143538651
SV18	0.0985901222154392	0.364383565104037	0.338743928234951	0.852531519774942	5.17253255463188	5.51215595629757	4.83777162586129	-1.61584177324462	6.61800702626048	-0.246559155841411	0.400735301392419
SV20	0.161186864722588	0.664539593672409	0.140130710511561	0.617761819169175	4.33818448980425	3.54978571439683	6.54743450061121	2.90752263114258	8.92953780139409	0.317012433257468	0.347426482431942
SV26	0.0373456888085632	0.190376260647694	0.021101512671022	0.121511231255385	2.45205061292056	0.982604970125904	6.73455376375321	4.80741850585204	8.0972953348259	0.546907117256091	0.285583122226872
SV28	0.149076372605028	0.427979940067634	0.176194768238381	0.507229675790301	0.41868704668996	1.92786989137445	-0.0889939384151788	-2.84973498205527	6.96992460648145	-0.35844076659818	0.361213245880055
SV33	0.0342873349344338	0.154666529577871	0.0768046349768251	0.256509112574452	-0.437694291928046	0.552918571252719	-1.60020349592362	-2.89373943191129	6.46414305407751	-0.403486656209797	0.287683841763984
SV41	0.753033588881097	0.985306150873825	0.904907600148141	0.999610088689272	2.60817545974904	2.14742598328064	3.09807299713686	0.0172887231408057	6.14973515156811	0.00192830087340075	0.49862258962847
SV56	0.310480174050755	0.625464834850439	0.472716141470953	0.756552764871918	-1.54642354315611	-1.23298894605413	-1.83074400635088	-0.813695081688238	5.77343221690933	-0.140087431832632	0.431985298996021
SV58	0.437440522139332	0.757510032307777	0.619156101421591	0.876132264198542	-1.63756829223097	-1.52582742145994	-1.81148726821215	-0.522711748981306	5.6425829008681	-0.0778179331772521	0.458639708814099
SV68	0.158165598942479	0.466015209924471	0.140249371352507	0.468588352147765	2.99906959043113	3.5747330061087	2.15245608996623	-1.52114306077453	4.65884414251399	-0.289268558887507	0.367309468248975
SV71	0.57873689010872	0.897941961047546	0.80148264998655	0.986152161370632	1.33349301464648	1.35636177010235	1.32483293604815	-0.141811980293172	6.06923126152384	-0.023417591743945	0.48805147142987
SV76	0.00875992554152474	0.0549698804336625	0.00456102019569377	0.0384695035087697	0.248373427217188	2.09795945150989	-1.59350105911675	-3.9529681415445	4.9021482293473	-0.703379343322172	0.202938507927859
SV83	0.0445906664124733	0.208001868303081	0.0265719176843059	0.143949954331621	0.790606235194473	2.08339021861937	-0.938016235848057	-3.1475465413007	6.01934878956768	-0.48011931111484	0.282828301637038
SV95	0.882022844028821	0.997054215760926	0.77391222218084	1	5.03062492573374	3.88748241445667	5.6163588247698	-0.697557100345696	7.40619923142464	-0.0929996444579916	0.469669119790181
SV115	0.00571650935149665	0.0385499239716782	0.00247379122515418	0.0188807636429587	5.4321946479011	2.53558918209979	7.83564314500005	4.26090918396055	6.74352112347761	0.62897185058036	0.223140523924769
SV125	0.733225666143773	0.912274750651185	0.776704945993739	0.924244598009592	-1.84194540659363	-1.88559671553184	-1.8045636439361	-0.10172970776189	5.08331420311222	-0.0162139801241086	0.48805147142987
SV146	0.00794121576236056	0.0582189711104379	0.00299000807023473	0.0311854615381172	0.845684591721584	3.09579730108274	-1.14198322404089	-3.76012815705236	4.73337768629291	-0.711245569573607	0.213039515835257
SV210	0.168726666401603	0.456238049248396	0.139282791970029	0.430391736376278	1.19813192626395	2.12212968568396	-0.120086226493505	-2.04579553783887	5.90493075174977	-0.355230781767649	0.338235306836913
SV221	0.384154464900615	0.710031374966761	0.523137571290908	0.832640247319168	-0.597067701909162	-0.247999522749978	-0.987297171591896	-0.802217074334647	5.86199488824862	-0.126864386912259	0.429227946260546
SV273	0.134717607799323	0.360799552866166	0.124162537322319	0.352701568762824	-0.624079409865191	0.463557345399726	-1.62507995065928	-2.21169341099411	5.11649892542005	-0.372382390660521	0.322610308403704
SV274	0.0492086581230967	0.181851969269678	0.0292497561314041	0.136054528836692	0.785430022238703	2.00638512581628	-0.942316656417253	-3.0780436305079	5.56569323003212	-0.527824591587682	0.262867668597
SV313	0.0415880753162732	0.161846878129909	0.0238556507879215	0.111918670379181	-0.261969413613373	1.29360063665358	-1.77409957502039	-3.04228130945594	5.21589794866897	-0.5348110596311	0.258272081031328
SV327	0.240639089750647	0.524620053145092	0.179720445424371	0.471193944258145	0.338710315210248	1.10190130370968	-0.544390404871507	-1.72254542211446	4.70613901211611	-0.309506473121734	0.361213245880055
SV335	0.21326402110479	0.508249248741955	0.145411592616791	0.430786765654168	0.12946747884589	1.26331252241099	-1.04481473845802	-1.89703326480702	5.1842363976188	-0.334266474058357	0.343750012190143
SV356	0.00320201865363423	0.0211156372551016	0.000890186849343768	0.00752883023313327	1.22679791844667	-0.57914023330535	4.70111559649763	4.98758506724913	5.49051592066905	0.820967498180534	0.182904449106369
SV390	7.92293716257667e-05	0.000801905351918895	8.37755613487291e-06	0.000124774046006628	0.616262163912623	-1.4924039367682	6.24300097302006	7.05776089337612	5.08580412529546	1.28470394535739	0.0835629972734827
SV404	0.209071061351827	0.505446316946872	0.207241417318595	0.509654064150229	-0.98285672891627	-0.25672707975167	-1.71127570232299	-1.71859044562525	5.10979090525277	-0.29346313895593	0.357536775621156
SV412	0.0940325407426623	0.308043717373648	0.0622493699190531	0.237659715095247	0.307284211605588	1.57404286085077	-0.951891829268307	-2.47073240981418	4.88614856025692	-0.427035670805236	0.302389722368928
SV414	0.0443771163816786	0.172253397778417	0.0427486043861421	0.167565157223298	-0.453322641899765	0.708837811458696	-1.73902285451323	-2.81908589074321	5.10129690995411	-0.505020893872629	0.266544138663659
SV444	0.658869536280537	0.926016670707502	0.637821135444486	0.92165709411828	-1.76868513118885	-1.96134193711844	-1.45313268652144	0.365089851554353	5.07778466411653	0.0648973023698342	0.471507354953539
SV458	0.011012502680936	0.064877457050777	0.00360579884034533	0.0250208320474356	1.22619225958824	-0.707220409718892	7.09452859307399	4.81381962790056	7.6824385787428	0.6529691893167	0.208639736939371
SV471	0.00249765858573354	0.0177922816498923	0.00107248999082395	0.00810017107557109	-0.422255613771387	-1.84464492937259	3.3772434812631	5.08085228817705	5.25849775959095	0.872482840421922	0.168044118846826
SV501	0.614438975568483	0.877299139761806	0.560829171988794	0.88132597871211	-0.0669264117736406	0.547052877524054	-0.730211899924763	-0.610430136805925	5.41736221265119	-0.104827623087871	0.451790637028221
SV544	0.201296489303061	0.483935412635667	0.142280983546251	0.419718983834978	-0.360421017921043	0.777965374581467	-1.38137074023059	-2.12775038253718	4.97253502165931	-0.358635628276422	0.335169893619051
SV601	0.420699445417772	0.815845403872002	0.487986180293861	0.838099551655162	-2.0967363988775	-2.44404421506612	-1.64834883301791	0.78864003471547	5.03650318325337	0.121878099950405	0.430670344728466
SV633	0.0419049195130378	0.166966620518946	0.0222551800708909	0.107705068445962	0.0304582521420933	1.96438247174052	-1.42888465979367	-3.29496620943162	5.06951228662724	-0.568602273613909	0.260110316055181
SV635	0.765982836184179	0.986815964072937	0.751553018420966	0.99336563135614	1.16525970925331	1.11061089442336	1.2567810104649	0.146040646201401	5.05430131448682	0.0258372068600194	0.488521580237671
SV645	0.0799709176111231	0.28551331636431	0.0641734533167883	0.251123248651383	-0.291727010243919	1.01726413655291	-1.20568578050652	-2.62806358735701	5.2640238972085	-0.441110022052539	0.289256216354957
SV671	0.748536691852517	0.963888025809398	0.829705462766484	0.98075475102237	-0.152485166624706	-0.0266852886026614	-0.312832968920866	-0.0141694440870284	5.4079146382461	-0.001997912412814	0.49862258962847
SV814	0.50564203257895	0.756606689463069	0.531949966470589	0.782154888536629	-1.49978824505698	-1.29019094543961	-1.81108322023275	-0.799795175396275	4.90219444013189	-0.13560324988745	0.438016533349107
SV845	0.233049504391093	0.503532276174883	0.19363394684635	0.459516931246161	-0.916537140601843	-0.09187216332686	-1.7284340041918	-1.77702138258531	4.7692146624221	-0.328965186794903	0.342516082073735
SV846	0.757490209064466	0.943514730930883	0.705958528472888	0.937589700473041	-1.87672772274612	-1.97570723330978	-1.74620715817764	0.21570907971084	4.64797043218246	0.0455566320663878	0.476584023687598
SV850	0.000148309230795162	0.00131714959912575	8.69016855576353e-06	0.000123394699249699	0.490368107157152	-1.77673675224334	4.91581288646958	6.35555458332172	4.58440400251134	1.26400397133454	0.0873162676089956
SV854	0.119172331287053	0.414179706326446	0.0732017882180344	0.307194033570392	0.0909918072208358	-1.07468344532816	2.18854894127078	3.05501819312339	5.68824754697515	0.458562188982812	0.30514707499709
SV880	0.429652927301653	0.71215589476618	0.368903354961285	0.682121257336785	-1.02266832277627	-0.547767339268589	-1.47953395465637	-1.32297573240146	4.97886855126455	-0.228346167772485	0.387511486746419
SV915	0.00732846157580661	0.0544625115637547	0.00177977758261818	0.0228732259726004	1.14281693541152	2.4275678372499	-0.743320460898286	-3.36232479243158	4.30165113529898	-0.72261837031172	0.182904449106369
SV919	0.0203454616314237	0.104375892839395	0.0130345459071799	0.073323818838859	-0.865106244335756	-2.01390947808953	1.38679166503768	3.9214723099241	5.5976085758234	0.653441395245141	0.230698556117098
SV969	9.50420982801983e-05	0.000830258587494018	1.11176593338008e-05	0.000144721738492124	0.376794363491035	-1.56494456590322	6.78199739742182	7.80599362976503	5.26593719667819	1.34973354785691	0.0853995422848484
SV1032	0.568591555888539	0.888853093321718	0.642285596866621	0.95128678085232	1.14438888878704	1.3681975557896	0.452306147108608	-0.656273899493405	4.50647567822741	-0.110111315511044	0.443933827526623
SV1075	0.768048618997268	0.937986240756819	0.753218719832602	0.953241473780489	-1.53510651613978	-1.60526489763548	-1.46388608664121	-0.0118400526490774	5.30053299629204	-0.00228087703334392	0.496786042466438
SV1096	0.535177812455201	0.797625239242888	0.600562857949979	0.862454903958514	-1.56107895657832	-1.43673984083489	-1.69841399295923	-0.463683922026625	4.92252166886907	-0.0779058441853523	0.458639708814099
SV1127	0.418245886430063	0.705661276305375	0.389374193906676	0.710122407485679	-1.31673870622672	-0.867803480288683	-1.78196924774092	-1.01992078033055	4.86049465838066	-0.18455374695546	0.400735301392419
SV1136	0.689825099435945	0.901089262207265	0.733382275750084	0.93007839589378	-1.80109507697605	-1.82662318776455	-1.75937620289453	-0.117231741802023	5.21906839822848	-0.017290839212652	0.487603306656761
SV1183	0.22036161669403	0.475174692647073	0.164288221578705	0.4183883993893	-0.680883428068753	0.0904998940288202	-1.58730176329304	-1.76250368772114	4.73139415028656	-0.310774470152249	0.336397071721798
SV1202	0.322773819847475	0.702888675599755	0.279149364765199	0.688159423635926	-0.894236605982256	-1.44333380664081	-0.193594646297262	1.3484095863381	5.04180438429011	0.240705954556783	0.359375010750078
SV1238	0.047722714614695	0.176140982633609	0.0318801679153436	0.141058272000351	-0.0187337188149233	0.883673818020761	-1.51278488871052	-2.6742113528012	4.72906049259699	-0.556461991107176	0.263544557673673
SV1268	0.768059104340009	0.946905688080515	0.750452055785737	0.960135496133556	0.220588309538646	0.440998298280443	-0.139273412416314	-0.33793111035372	5.7660242306762	-0.055285018190471	0.474264707698881
SV1270	0.658592608237101	0.909751090466094	0.657897237333117	0.916302483109157	-1.45464645308683	-1.6860983632143	-1.21764427437243	0.464294696272131	4.99427960674663	0.0801680129864116	0.4568014736522
SV1374	0.746283157767173	0.925638949830292	0.756653587425433	0.94329974526064	-1.68122794538475	-1.68799707728793	-1.66654840779742	-0.0683141763374682	4.87424111500233	-0.0115246392157202	0.494485294505919
SV1438	0.000273560547448514	0.0025349026621596	0.000150438212626275	0.00140464932674618	-0.31463652517759	-2.03303968400896	5.06714944946005	6.57449252959971	5.25377120675058	1.1567489772029	0.129595646026922
SV1735	0.708767730710576	0.912766960771227	0.70375951642944	0.9150922849311	-1.23147490789651	-1.20467528870986	-1.25873033529927	-0.219196538002404	4.69932680433625	-0.0411480283064944	0.482093665171719
SV1815	0.0989422989474123	0.383014256297745	0.0720158052315242	0.298610015327005	-0.306157756357553	-1.2115874349575	1.41910620287874	2.72310618175854	5.81938800803958	0.420016913118351	0.310376507757702
SV1959	0.328338711167572	0.614294061167719	0.323393103616669	0.651440868322089	-1.33790579966076	-0.84250136820729	-1.89299602657996	-1.59847899224188	5.12561793886754	-0.280478620239168	0.363970598576952
SV2031	0.63579334549236	0.929160922797277	0.601943312572001	0.909621370935618	-1.63395205038014	-1.97222278065167	-1.24527921484219	0.484695488297803	4.72206080489969	0.0944408472865707	0.452205885748582
