	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Desert	rab.win.Grassland	diff.btw	diff.win	effect	overlap
SV1	3.61932635356936e-05	0.000540620286386508	7.28243185893485e-09	4.91797324790426e-07	14.5927532437175	11.3745834530409	16.8905072396328	5.12386559559691	3.82470380855765	1.14103290549574	0.0303311633934054
SV2	0.000670375551027913	0.0208718744971239	0.000868915751874613	0.0202842681325122	9.38757372406309	11.5931496141391	6.63162836975316	-4.39970862123492	5.11887666827173	-0.814392628187872	0.196691210255142
SV5	0.00461128798066821	0.0493818689247648	0.00405968005753358	0.0427238064555125	5.55278212643292	6.47946361676023	4.5079832714972	-3.92093303681448	6.19146646231726	-0.612692919862144	0.235294143538651
SV115	0.00571650935149665	0.0385499239716782	0.00247379122515418	0.0188807636429587	5.4321946479011	2.53558918209979	7.83564314500005	4.26090918396055	6.74352112347761	0.62897185058036	0.223140523924769
SV356	0.00320201865363423	0.0211156372551016	0.000890186849343768	0.00752883023313327	1.22679791844667	-0.57914023330535	4.70111559649763	4.98758506724913	5.49051592066905	0.820967498180534	0.182904449106369
SV390	7.92293716257667e-05	0.000801905351918895	8.37755613487291e-06	0.000124774046006628	0.616262163912623	-1.4924039367682	6.24300097302006	7.05776089337612	5.08580412529546	1.28470394535739	0.0835629972734827
SV471	0.00249765858573354	0.0177922816498923	0.00107248999082395	0.00810017107557109	-0.422255613771387	-1.84464492937259	3.3772434812631	5.08085228817705	5.25849775959095	0.872482840421922	0.168044118846826
SV850	0.000148309230795162	0.00131714959912575	8.69016855576353e-06	0.000123394699249699	0.490368107157152	-1.77673675224334	4.91581288646958	6.35555458332172	4.58440400251134	1.26400397133454	0.0873162676089956
SV969	9.50420982801983e-05	0.000830258587494018	1.11176593338008e-05	0.000144721738492124	0.376794363491035	-1.56494456590322	6.78199739742182	7.80599362976503	5.26593719667819	1.34973354785691	0.0853995422848484
SV1438	0.000273560547448514	0.0025349026621596	0.000150438212626275	0.00140464932674618	-0.31463652517759	-2.03303968400896	5.06714944946005	6.57449252959971	5.25377120675058	1.1567489772029	0.129595646026922
SV4237	0.000377394643449346	0.00297782142835234	7.63952128909947e-05	0.000778532226425005	-0.595087701129872	-2.4996866948888	3.92607677473154	6.3067384991085	4.86926199837949	1.14456890639485	0.117539091405537
