	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SV4237	11.14758627958	6.84335928001082	1.19098588005546	5.74596172348587	9.13999825760998e-09	2.92479944243519e-07
SV1438	18.1546508045661	6.81940127875712	1.3095317665481	5.20751115242737	1.91390338331164e-07	2.4497963306389e-06
SV390	49.0545553383002	6.20301093691683	1.1761375312074	5.27405237255625	1.33443798427856e-07	2.4497963306389e-06
SV969	46.5348376226526	5.85449802471839	1.20596635378782	4.85461141293867	1.20623038794666e-06	9.57222868853404e-06
SV471	10.4484203026771	5.85194613000596	1.25055121445496	4.67949338049018	2.8758464363738e-06	1.84054171927923e-05
SV919	5.51942632961294	4.80942566917471	1.60484775214321	2.99681116962771	0.00272819647041248	0.00759150322201733
SV1815	7.11408818325363	4.08855206227291	1.4681919913487	2.78475300666714	0.00535685110086911	0.0137135388182249
SV356	26.9670890270054	4.00532839487156	1.07510699606948	3.72551607376268	0.000194916030961616	0.000831641732102896
SV850	14.2731125030253	3.86322648165297	1.17784925381431	3.27989890823669	0.0010384428904152	0.00349791289403015
SV26	90.8053173962869	3.54170956697538	1.18788874024146	2.98151623716499	0.00286824836212097	0.00764866229898924
SV20	2531.18045705418	3.31326190946617	1.21294140296078	2.73159272276347	0.00630290025266696	0.0149402080063217
SV458	77.5651926207665	3.21218961387641	1.30408291472316	2.46317897244925	0.0137711155958422	0.0284306902623838
SV1	79213.1905435051	3.20470637670401	0.816069238162345	3.92700303704682	8.60108955143659e-05	0.000423438254839955
SV915	5.81718918229451	-2.6400457363676	0.957465667892668	-2.75732678977222	0.00582760787002066	0.0143448809108201
SV83	11.0687425467882	-2.7841255006707	1.24913122153482	-2.22884950169592	0.0258239200224991	0.0486097318070571
SV210	17.02536251742	-3.00210586821178	1.23640589013673	-2.42809088193505	0.0151785392203752	0.0303570784407504
SV146	11.808602002943	-3.48339313001345	1.11925787155873	-3.1122346498777	0.00185676850328366	0.00565872305762639
SV544	3.5386975730648	-3.68113419863554	1.35507568093695	-2.71655247778506	0.00659657365757791	0.0150778826458924
SV404	1.75323665002554	-3.79204058948247	1.63778085484801	-2.31535286192753	0.020593628991606	0.0399391592564481
SV273	3.49006242378562	-3.83687846145134	1.5299388742725	-2.50786389310867	0.0121463443276303	0.025912201232278
SV1183	2.7583046705347	-3.99510676505817	1.4981812195919	-2.66663786250532	0.0076614176640336	0.0169079562240741
SV28	27.2024698093236	-4.28727355688454	1.41559004317418	-3.02861239915983	0.00245679666854698	0.00714704485395486
SV633	9.22316989667437	-4.32031873384115	1.36359351926436	-3.16833328466676	0.00153315652096957	0.00490610086710261
SV1238	4.57933962804514	-4.52782513851234	1.29700647190181	-3.49098114512347	0.000481250214851381	0.00181176551473461
SV274	18.4628340295398	-4.55392949420914	1.27899570773009	-3.56055103757248	0.000370077369636754	0.00148030947854702
SV18	1369.56846090701	-4.85032301899736	1.00362077051356	-4.83282447065679	1.3460946593251e-06	9.57222868853404e-06
SV5	487.571009728572	-4.86514419019402	0.932830696062567	-5.215463224709	1.83358436581726e-07	2.4497963306389e-06
SV645	5.27578465165672	-4.93006144290857	1.45080608723193	-3.39815326548217	0.000678424010193911	0.00241217425846724
SV2	11647.7227278728	-5.29801850223898	0.852573648300908	-6.2141476138717	5.16040001805649e-10	3.30265601155615e-08
SV414	8.0125339884667	-5.97532650376159	1.50553630736071	-3.96890229385212	7.22044779446796e-05	0.000385090549038291
SV33	39.1236517224362	-6.29806018570521	1.63433339405017	-3.85359572816259	0.000116395724785501	0.000532094741876576
SV313	10.3340275253213	-6.33989468354133	1.50749429024547	-4.2055845415567	2.6040822067584e-05	0.000151510237484125
SV76	17.3746322980627	-6.46144002219489	1.32742238329889	-4.86765938520413	1.12927746918869e-06	9.57222868853404e-06
SV71	252.23912007943	-6.9717747526971	1.41972247882173	-4.91066025698429	9.07702376110311e-07	9.57222868853404e-06
