Sample_id	Country	Region	Site	Year	Month	Day	Sample_type	Site_type	Weather_condition	Subfamily	Genus	Species	Functional_group	Sex	Fecal_type	GPS.N.	GPS.E.	GPS_decimal.N.	GPS_decimal.E.	Collected_time	Altitude	Temperature	Humidity...	Elevation	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	SG
Jeju1	Jeju1	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Scarabaeinae	Copris	tripartitus	Roller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju2	Jeju2	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Scarabaeinae	Copris	tripartitus	Roller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju3	Jeju3	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Scarabaeinae	Copris	tripartitus	Roller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju4	Jeju4	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Scarabaeinae	Copris	tripartitus	Roller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju5	Jeju5	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Aphodiinae	Colobopterus	propraetor	Dweller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju6	Jeju6	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Aphodiinae	Colobopterus	propraetor	Dweller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju7	Jeju7	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Aphodiinae	Aganocrossus	urostigma	Dweller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju8	Jeju8	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Aphodiinae	Aganocrossus	urostigma	Dweller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju9	Jeju9	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Melolonthinae	Heptophylla	picea	Plant_eater	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju10	Jeju10	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Melolonthinae	Heptophylla	picea	Plant_eater	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju12	Jeju12	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Sphaeridiinae	Cercyon	quisquilius	Dweller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju13	Jeju13	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Sphaeridiinae	Cercyon	quisquilius	Dweller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju14	Jeju14	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Sphaeridiinae	Cercyon	quisquilius	Dweller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju17	Jeju17	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Sphaeridiinae	Cercyon	quisquilius	Dweller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
Jeju18	Jeju18	RepublicofKorea	JejuSeogwipo	7	2022	5	31	gut	Grassland	Sunny	Sphaeridiinae	Cercyon	quisquilius	Dweller	Unidentified	Cow	33_18_01_69	126_18 _01 _69	33.300469	126.300469	1700_1800	220m	22	74.6	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified	Unidentified
